yearID,franchID,name,G,SO
1871,BNA,Boston Red Stockings,31,19.0
1871,CNA,Chicago White Stockings,28,22.0
1871,CFC,Cleveland Forest Citys,29,25.0
1871,KEK,Fort Wayne Kekiongas,19,9.0
1871,NNA,New York Mutuals,33,15.0
1871,PNA,Philadelphia Athletics,28,23.0
1871,ROK,Rockford Forest Citys,25,30.0
1871,TRO,Troy Haymakers,29,19.0
1871,OLY,Washington Olympics,32,13.0
1872,BLC,Baltimore Canaries,58,28.0
1872,ECK,Brooklyn Eckfords,29,40.0
1872,BRA,Brooklyn Atlantics,37,25.0
1872,BNA,Boston Red Stockings,48,26.0
1872,CFC,Cleveland Forest Citys,22,13.0
1872,MAN,Middletown Mansfields,24,13.0
1872,NNA,New York Mutuals,56,52.0
1872,PNA,Philadelphia Athletics,47,47.0
1872,TRO,Troy Haymakers,25,14.0
1872,OLY,Washington Olympics,9,4.0
1872,NAT,Washington Nationals,11,3.0
1873,BLC,Baltimore Canaries,57,30.0
1873,MAR,Baltimore Marylands,6,3.0
1873,BRA,Brooklyn Atlantics,55,47.0
1873,BNA,Boston Red Stockings,60,36.0
1873,RES,Elizabeth Resolutes,23,30.0
1873,NNA,New York Mutuals,53,22.0
1873,PNA,Philadelphia Athletics,52,33.0
1873,PWS,Philadelphia Whites,53,41.0
1873,WBL,Washington Blue Legs,39,36.0
1874,BLC,Baltimore Canaries,47,37.0
1874,BRA,Brooklyn Atlantics,56,51.0
1874,BNA,Boston Red Stockings,71,28.0
1874,CNA,Chicago White Stockings,59,54.0
1874,HNA,Hartford Dark Blues,53,63.0
1874,NNA,New York Mutuals,65,40.0
1874,PNA,Philadelphia Athletics,55,51.0
1874,PWS,Philadelphia Whites,58,33.0
1875,BRA,Brooklyn Atlantics,44,36.0
1875,BNA,Boston Red Stockings,82,52.0
1875,CNA,Chicago White Stockings,69,65.0
1875,HNA,Hartford Dark Blues,86,64.0
1875,WES,Keokuk Westerns,13,22.0
1875,NHV,New Haven Elm Citys,47,62.0
1875,NNA,New York Mutuals,71,47.0
1875,PNA,Philadelphia Athletics,77,55.0
1875,PWS,Philadelphia Whites,70,58.0
1875,CEN,Philadelphia Centennials,14,25.0
1875,SLR,St. Louis Red Stockings,19,45.0
1875,SNA,St. Louis Brown Stockings,70,102.0
1875,WNT,Washington Nationals,28,42.0
1876,ATL,Boston Red Caps,70,98.0
1876,CHC,Chicago White Stockings,66,45.0
1876,CNR,Cincinnati Reds,65,136.0
1876,HAR,Hartford Dark Blues,69,78.0
1876,LGR,Louisville Grays,69,98.0
1876,NYU,New York Mutuals,57,35.0
1876,ATH,Philadelphia Athletics,60,36.0
1876,SBS,St. Louis Brown Stockings,64,63.0
1877,ATL,Boston Red Caps,61,121.0
1877,CHC,Chicago White Stockings,60,111.0
1877,CNR,Cincinnati Reds,58,110.0
1877,HAR,Hartford Dark Blues,60,97.0
1877,LGR,Louisville Grays,61,140.0
1877,SBS,St. Louis Brown Stockings,60,147.0
1878,ATL,Boston Red Caps,60,154.0
1878,CHC,Chicago White Stockings,61,157.0
1878,CNR,Cincinnati Reds,61,141.0
1878,IBL,Indianapolis Blues,63,197.0
1878,MLG,Milwaukee Grays,61,214.0
1878,PRO,Providence Grays,62,218.0
1879,BUF,Buffalo Bisons,79,314.0
1879,ATL,Boston Red Caps,84,222.0
1879,CHC,Chicago White Stockings,83,294.0
1879,CBL,Cleveland Blues,82,214.0
1879,CNR,Cincinnati Reds,81,207.0
1879,PRO,Providence Grays,85,172.0
1879,SYR,Syracuse Stars,71,238.0
1879,TRT,Troy Trojans,77,182.0
1880,BUF,Buffalo Bisons,85,327.0
1880,ATL,Boston Red Caps,86,221.0
1880,CHC,Chicago White Stockings,86,217.0
1880,CBL,Cleveland Blues,85,237.0
1880,CNR,Cincinnati Reds,83,267.0
1880,PRO,Providence Grays,87,186.0
1880,TRT,Troy Trojans,83,260.0
1880,WOR,Worcester Ruby Legs,85,278.0
1881,BUF,Buffalo Bisons,83,270.0
1881,ATL,Boston Red Caps,83,193.0
1881,CHC,Chicago White Stockings,84,224.0
1881,CBL,Cleveland Blues,85,224.0
1881,DTN,Detroit Wolverines,84,250.0
1881,PRO,Providence Grays,85,214.0
1881,TRT,Troy Trojans,85,240.0
1881,WOR,Worcester Ruby Legs,83,169.0
1882,BUF,Buffalo Bisons,84,228.0
1882,BLO,Baltimore Orioles,74,217.0
1882,ATL,Boston Red Caps,85,244.0
1882,CHC,Chicago White Stockings,84,262.0
1882,CBL,Cleveland Blues,84,261.0
1882,CIN,Cincinnati Red Stockings,80,204.0
1882,DTN,Detroit Wolverines,86,308.0
1882,LOU,Louisville Eclipse,79,193.0
1882,PHA,Philadelphia Athletics,75,164.0
1882,PRO,Providence Grays,84,255.0
1882,PIT,Pittsburg Alleghenys,79,182.0
1882,STL,St. Louis Brown Stockings,79,226.0
1882,TRT,Troy Trojans,85,298.0
1882,WOR,Worcester Ruby Legs,84,303.0
1883,BUF,Buffalo Bisons,98,342.0
1883,BLO,Baltimore Orioles,96,331.0
1883,ATL,Boston Beaneaters,98,423.0
1883,CHC,Chicago White Stockings,98,399.0
1883,CBL,Cleveland Blues,100,374.0
1883,CBK,Columbus Buckeyes,97,409.0
1883,CIN,Cincinnati Red Stockings,98,261.0
1883,DTN,Detroit Wolverines,101,378.0
1883,LOU,Louisville Eclipse,98,304.0
1883,SFG,New York Gothams,98,297.0
1883,NYP,New York Metropolitans,97,259.0
1883,PHA,Philadelphia Athletics,98,268.0
1883,PHI,Philadelphia Quakers,99,355.0
1883,PRO,Providence Grays,98,309.0
1883,PIT,Pittsburg Alleghenys,98,345.0
1883,STL,St. Louis Browns,98,240.0
1884,ALT,Altoona Mountain City,25,130.0
1884,BUF,Buffalo Bisons,114,458.0
1884,BLO,Baltimore Orioles,108,545.0
1884,BLU,Baltimore Monumentals,105,652.0
1884,LAD,Brooklyn Atlantics,109,417.0
1884,ATL,Boston Beaneaters,116,660.0
1884,BRD,Boston Reds,109,787.0
1884,CHC,Chicago White Stockings,112,469.0
1884,CPI,Chicago/Pittsburgh (Union League),92,505.0
1884,CBL,Cleveland Blues,113,576.0
1884,CBK,Columbus Buckeyes,110,629.0
1884,CIN,Cincinnati Red Stockings,112,409.0
1884,COR,Cincinnati Outlaw Reds,103,482.0
1884,DTN,Detroit Wolverines,114,699.0
1884,IHO,Indianapolis Hoosiers,110,561.0
1884,KCU,Kansas City Cowboys,82,529.0
1884,LOU,Louisville Eclipse,110,408.0
1884,MLU,Milwaukee Brewers,12,70.0
1884,SFG,New York Gothams,116,492.0
1884,NYP,New York Metropolitans,112,315.0
1884,PHA,Philadelphia Athletics,108,434.0
1884,PHI,Philadelphia Quakers,113,512.0
1884,PHK,Philadelphia Keystones,67,405.0
1884,PRO,Providence Grays,114,469.0
1884,PIT,Pittsburg Alleghenys,110,411.0
1884,RIC,Richmond Virginians,45,282.0
1884,STL,St. Louis Browns,110,339.0
1884,SLM,St. Louis Maroons,113,542.0
1884,STP,St. Paul White Caps,9,47.0
1884,TOL,Toledo Blue Stockings,109,545.0
1884,WIL,Wilmington Quicksteps,17,123.0
1884,WST,Washington Nationals,63,377.0
1884,WNA,Washington Nationals,112,558.0
1885,BUF,Buffalo Bisons,112,380.0
1885,BLO,Baltimore Orioles,110,529.0
1885,LAD,Brooklyn Grays,112,324.0
1885,ATL,Boston Beaneaters,113,522.0
1885,CHC,Chicago White Stockings,113,429.0
1885,CIN,Cincinnati Red Stockings,112,420.0
1885,DTN,Detroit Wolverines,108,451.0
1885,LOU,Louisville Colonels,112,448.0
1885,SFG,New York Giants,112,312.0
1885,NYP,New York Metropolitans,108,428.0
1885,PHA,Philadelphia Athletics,113,410.0
1885,PHI,Philadelphia Quakers,111,401.0
1885,PRO,Providence Grays,110,430.0
1885,PIT,Pittsburg Alleghenys,111,537.0
1885,STL,St. Louis Browns,112,282.0
1885,SLM,St. Louis Maroons,111,412.0
1886,BLO,Baltimore Orioles,139,603.0
1886,LAD,Brooklyn Grays,141,523.0
1886,ATL,Boston Beaneaters,118,537.0
1886,CHC,Chicago White Stockings,126,513.0
1886,CIN,Cincinnati Red Stockings,141,633.0
1886,DTN,Detroit Wolverines,126,426.0
1886,KCN,Kansas City Cowboys,123,608.0
1886,LOU,Louisville Colonels,138,558.0
1886,SFG,New York Giants,124,410.0
1886,NYP,New York Metropolitans,137,578.0
1886,PHA,Philadelphia Athletics,139,697.0
1886,PHI,Philadelphia Quakers,119,516.0
1886,PIT,Pittsburg Alleghenys,140,713.0
1886,STL,St. Louis Browns,139,425.0
1886,SLM,St. Louis Maroons,126,656.0
1886,WNL,Washington Nationals,122,582.0
1887,BLO,Baltimore Orioles,141,337.0
1887,LAD,Brooklyn Grays,138,357.0
1887,ATL,Boston Beaneaters,127,392.0
1887,CHC,Chicago White Stockings,127,400.0
1887,CLV,Cleveland Blues,133,486.0
1887,CIN,Cincinnati Red Stockings,135,379.0
1887,DTN,Detroit Wolverines,127,258.0
1887,IND,Indianapolis Hoosiers,127,379.0
1887,LOU,Louisville Colonels,137,367.0
1887,SFG,New York Giants,129,326.0
1887,NYP,New York Metropolitans,138,456.0
1887,PHA,Philadelphia Athletics,137,379.0
1887,PHI,Philadelphia Quakers,128,346.0
1887,PIT,Pittsburg Alleghenys,125,381.0
1887,STL,St. Louis Browns,137,342.0
1887,WNL,Washington Nationals,126,339.0
1888,BLO,Baltimore Orioles,137,479.0
1888,LAD,Brooklyn Bridegrooms,143,439.0
1888,ATL,Boston Beaneaters,137,524.0
1888,CHC,Chicago White Stockings,135,563.0
1888,CLV,Cleveland Blues,135,559.0
1888,CIN,Cincinnati Red Stockings,137,555.0
1888,DTN,Detroit Wolverines,134,396.0
1888,IND,Indianapolis Hoosiers,136,492.0
1888,KCC,Kansas City Cowboys,132,604.0
1888,LOU,Louisville Colonels,139,604.0
1888,SFG,New York Giants,137,456.0
1888,PHA,Philadelphia Athletics,136,473.0
1888,PHI,Philadelphia Quakers,131,485.0
1888,PIT,Pittsburg Alleghenys,138,583.0
1888,STL,St. Louis Browns,137,521.0
1888,WNL,Washington Nationals,136,499.0
1889,BLO,Baltimore Orioles,139,536.0
1889,LAD,Brooklyn Bridegrooms,138,401.0
1889,ATL,Boston Beaneaters,133,450.0
1889,CHC,Chicago White Stockings,136,516.0
1889,CLV,Cleveland Spiders,136,417.0
1889,CLS,Columbus Solons,139,609.0
1889,CIN,Cincinnati Red Stockings,141,511.0
1889,IND,Indianapolis Hoosiers,135,447.0
1889,KCC,Kansas City Cowboys,139,626.0
1889,LOU,Louisville Colonels,140,521.0
1889,SFG,New York Giants,131,386.0
1889,PHA,Philadelphia Athletics,138,496.0
1889,PHI,Philadelphia Quakers,130,353.0
1889,PIT,Pittsburg Alleghenys,134,467.0
1889,STL,St. Louis Browns,140,477.0
1889,WNL,Washington Nationals,127,456.0
1890,BFB,Buffalo Bisons,134,367.0
1890,BLO,Baltimore Orioles,38,152.0
1890,BRG,Brooklyn Gladiators,100,456.0
1890,LAD,Brooklyn Bridegrooms,129,361.0
1890,BWW,Brooklyn Ward's Wonders,133,369.0
1890,ATL,Boston Beaneaters,134,515.0
1890,BRS,Boston Reds,133,449.0
1890,CHC,Chicago Colts,139,514.0
1890,CHP,Chicago Pirates,138,410.0
1890,CIN,Cincinnati Reds,134,377.0
1890,CLV,Cleveland Spiders,136,474.0
1890,CLS,Columbus Solons,140,557.0
1890,CLI,Cleveland Infants,131,345.0
1890,LOU,Louisville Colonels,134,460.0
1890,SFG,New York Giants,135,479.0
1890,NYI,New York Giants,132,364.0
1890,PHA,Philadelphia Athletics,132,540.0
1890,PHI,Philadelphia Phillies,133,403.0
1890,PHQ,Philadelphia Athletics,132,321.0
1890,PIT,Pittsburg Alleghenys,138,458.0
1890,PBB,Pittsburgh Burghers,131,381.0
1890,ROC,Rochester Broncos,133,538.0
1890,STL,St. Louis Browns,138,490.0
1890,SYS,Syracuse Stars,127,482.0
1890,TLM,Toledo Maumees,134,558.0
1891,BLO,Baltimore Orioles,139,553.0
1891,LAD,Brooklyn Grooms,137,435.0
1891,BRS,Boston Reds,139,499.0
1891,ATL,Boston Beaneaters,140,537.0
1891,CHC,Chicago Colts,137,457.0
1891,CIN,Cincinnati Reds,138,439.0
1891,CLV,Cleveland Spiders,141,464.0
1891,CLS,Columbus Solons,138,530.0
1891,CKK,Cincinnati Kelly's Killers,102,385.0
1891,LOU,Louisville Colonels,138,465.0
1891,MLA,Milwaukee Brewers,36,114.0
1891,SFG,New York Giants,136,394.0
1891,PHQ,Philadelphia Athletics,142,548.0
1891,PHI,Philadelphia Phillies,138,412.0
1891,PIT,Pittsburgh Pirates,137,503.0
1891,STL,St. Louis Browns,139,436.0
1891,WAS,Washington Statesmen,139,485.0
1892,BLO,Baltimore Orioles,152,480.0
1892,LAD,Brooklyn Grooms,158,508.0
1892,ATL,Boston Beaneaters,152,492.0
1892,CHC,Chicago Colts,146,482.0
1892,CIN,Cincinnati Reds,155,476.0
1892,CLV,Cleveland Spiders,152,538.0
1892,LOU,Louisville Colonels,154,508.0
1892,SFG,New York Giants,152,474.0
1892,PHI,Philadelphia Phillies,155,515.0
1892,PIT,Pittsburgh Pirates,152,453.0
1892,STL,St. Louis Browns,155,492.0
1892,WAS,Washington Senators,153,555.0
1893,BLO,Baltimore Orioles,130,323.0
1893,LAD,Brooklyn Grooms,130,296.0
1893,ATL,Boston Beaneaters,131,292.0
1893,CHC,Chicago Colts,128,261.0
1893,CIN,Cincinnati Reds,131,257.0
